Message,Summary_T5_1,Summary_T5_2,Summary_Bart
"Ha Hij is net terug van het reparatiecentrum. Voor de lol eens op spoelen gedrukt. Tot mijn verbazing is dit mijn kopje spoelwater. Volgens mij is er niet veel gebeurt bij het reparatiecentrum. Is dit normaal bij een espressomachine? En zeker na het compleet reinigen bij een reparatiecentrum? nan nan Heb er nog geen koffieboon inzitten! Na !!! Reservoirs doorspoelen blijven er stukjes uitkomen nan nan Ook is het apparaat van binnen niet gereinigd. Het ging om de leidingen. Ben er een beetje klaar mee nan Na ! Reservoirs doorspoelen. Wtf! Ha. Niet  keer spoelen,  volledige reservoirs. Met een kortingsvoucher los ik dit niet op, en om eerlijk te zijn heb ik vrij weinig vertrouwen in het hele reparatiebedrijf. Er is gewoonweg niks uitgevoerd, slordige spelfouten in het rapport Koffiemachine lijkt nu geen stukjes meer te geven. Ik kijk het even aan. Gr",Voor de lol eens op spoelen gedrukt. Tot mijn verbazing is dit mijn kopje spoelwater. Volgens mij is er niet veel gebeurt bij het reparatiecentrum.,nan een spelfouten kijk het even aan,Ha Hij is net terug van het reparatiecentrum. Voor de lol eens op spoelen gedrukt. Tot mijn verbazing is dit mijn kopje spoelwater. Volgens mij is er niet veel gebeurt bij het Reparatie centrum. Is dit normaal bij een espressomachine? En zeker na het compleet reinigen bijeen reparatiescentrum? nan nan Heb er nog geen koffieboon inzitten! Na!!! Reservoirs doorspoelen blijven er stukjes uitkomen nan
" I'm disappointed that only after a  year the power button on our baby monitor is stuck, and reading that this seems to be a common occurrence! Advice on how to fix or remedy this?  Yes it is model SCD630H. Is the serial number below it on a white strip?  Your DMs don't appear to be open Here is the serial number of our baby monitor with the broken power button Hi, yes I found the receipt I just need to link it here  Hi, this was March th. I couldn't turn it off ( it doesn't give way at all). And I have tried digging around it with my nail so no, no additional cleaning and I didn't drop it Hi, thats unfortunate.  I really liked it.  We need the visual component,  so we would need the refund please Hi there, it's the same as on the receipt above. Natalie McKenzie ,  Gibson Crescent, Milton ON L9T8Z9   Thanks. Hi there, I found out over the weekend that our home printer has no ink, so I will have both items printed tomorrow at work Thanks....this was just dropped off with UPS","The power button on our baby monitor is stuck after a year. I'm disappointed that only after a year the power button on our baby monitor is stuck, and reading that this seems to be a common occurrence!",iââm disappointed baby monitors power button gets stuck,"I'm disappointed that only after a  year the power button on our baby monitor is stuck, and reading that this seems to be a common occurrence! Advice on how to fix or remedy this?  Yes it is model SCD630H. Is the serial number below it on a white strip?  Your DMs don't appear to be open Here is the serial numbers of our church monitor with the broken power button Hi, yes I found the receipt I just need to link it here  Hi, this was March th. I couldn't turn it off ( it doesn't give way at all). And I have tried digging around it with my nail so no, no additional cleaning and I didn't drop it Hi, thats unfortunate"
"Please advise me how this can be rectified? Regards Chris Brand new straight out of the box!! nan nan Chris Shaw  Lineham Court 
Liversedge 
WF15 EJ 
 

 Cheers 
Chris nan Nothing received yet!!  nan Still not received!!  nan Ive just received this! Is this you?  I think your picking and packing department have an issue!! nan nan Phillips one blade replacement to substitute for a faulty one was meant to be sent!! ( Took nearly two weeks to process!!) received a Braun part!!  nan Fingers crossed!!  Maybe this week?  No! Not received yet! nan Still nothing!! Received!!!  nan",Chris Shaw Lineham Court Liversedge WF15 EJ Cheers Chris nan Nothing received yet!! nan Ive just received this!,nothing received yet nan nan Chris Shaw,"Please advise me how this can be rectified? Regards Chris Brand new straight out of the box!! nan nan Chris Shaw  Lineham Court 
Liversedge 
WF15 EJ 
 
 Cheers 
Chris nan Nothing received yet!!  nan Still not received!!  Nan Ive just received this! Is this you?  I think your picking and packing department have an issue!! nan Nano Phillips one blade replacement to substitute for a faulty one was meant to be sent!! ( Took nearly two weeks to process!!) received a Braun part!! nan Fingers crossed!!  Maybe this week?  No! Not received yet! nan Still nothing!! Received!!!  nan"
"Hello 
I purchased air floss on /24 but it decided to stop working Hi yes brush has  setting yesterday setting  stop working today it doesnt do anything at all United States nan Yes Ive charge for  hours right now is in the charge and its not doing anything indicate that is charging Ok thanks Hello I tried my Phillip tooth brush charge Air floss I use my brush charge Battery not holding charge Whats the plan to resolve my issue please ? Heres my receipt from Best Buy nan Ive tried different outlets and nothing happens It look like is fully charge but when you press power button Power is discharge leaving battery dead Raul  Guadalupe 
   Pacente Loop
Wesley chapel 
Florida  Thank you!!!",Hello Hello I purchased air floss on /24 but it decided to stop working Hi yes brush has setting yesterday setting stop working today it doesnt do anything at all United States nan Yes Ive charge for hours right now is in the charge and its not doing anything indicate that is charging Ok thanks Hello I purchased air floss on /24 but it decided to stop working Hi yes brush has setting yesterday setting stop working today it doesnt do anything at all United States nan Yes Ive tried different outlets and nothing happens,air floss battery dies power goes dead,"Hello 
I purchased air floss on /24 but it decided to stop working Hi yes brush has  setting yesterday setting  stop working today it doesnt do anything at all United States nan Yes Ive charge for  hours right now is in the charge and its not doing anything indicate that is charging Ok thanks Hello I tried my Phillip tooth brush charge Air floss I use my brush charge Battery not holding charge Whats the plan to resolve my issue please? Heres my receipt from Best Buy nan Ive tried different outlets and nothing happens It look like is fully charge but when you press power button Power is discharge leaving battery dead Raul  Guadalupe 
   Pacente Loop
Wesley chapel 
Florida  Thank"
"Yesterday I purchased a Sonicare  ExpertClean, and I have been trying since to register said product.  Trouble is your web page found at Sonicare.registria.com will not except my attempts to register.  Why? nan USA! I photographed the but end of the unit and sent said photo to you.  What more do you need.  I mean all these hoops is getting a little annoying. Once again the page says 'click forgot my password' and nothing happens.  I get no code that I need to reset my password.  WHY? Yes!  There are no emails related to Sonicare. Same problem with your website.","Yesterday I purchased a Sonicare ExpertClean, and I have been trying since to register said product. Trouble is your web page found at Sonicare.registria.com will not except my attempts to register.",website shows nan us user forgot password,"Yesterday I purchased a Sonicare  ExpertClean, and I have been trying since to register said product.  Trouble is your web page found at Sonicare.registria.com will not except my attempts to register.  Why? nan USA! I photographed the but end of the unit and sent said photo to you.  What more do you need. I mean all these hoops is getting a little annoying. Once again the page says 'click forgot my password' and nothing happens.  I get no code that I need to reset my password.  WHY? Yes!  There are no emails related to Sonicare... Same problem with your website. Why? nan Washington! I studied the butend of the"
Trying to get help on a coffee maker less than  weeks old that stopped working Customer service is giving me the run around USA nan nan nan  Purchased online /27/21 arrived /2 /15 started a vibrating noise Called Phillips customer service & they walked me through trying to fix it Service rep said someone would get back to me within -48 hours I called back /20 they said they were waiting to validate my purchase date Then I get an email that my receipt needed to be in a pdf or jpg format Sent the receipt in a pdf format Today I call and rep says it will be -5 days before they can validate my receipt Is this really how you do business? $800 coffee maker stops working after  weeks We loved the coffee maker for the  weeks it worked Im sorry for how I sound Im just completed frustrated Thank you I look forward to the update,Trying to get help on a coffee maker less than weeks old that stopped working Customer service is giving me the run around USA nan nan Purchased online /27/21 arrived /2 /15 started a vibrating noise Called Phillips customer service & they walked me through trying to fix it Service rep said someone would get back to me within -48 hours I called back /20 they said they were waiting to validate my purchase date Then I get an email that my receipt needed to be in a pdf format Sent the receipt in a pdf format,customer service gives me run around coffee maker,Trying to get help on a coffee maker less than  weeks old that stopped working Customer service is giving me the run around USA nan nan nan  Purchased online /27/21 arrived /2 /15 started a vibrating noise Called Phillips customer service & they walked me through trying to fix it Service rep said someone would get back to me within -48 hours I called back /20 they said they were waiting to validate my purchase date Then I get an email that my receipt needed to be in a PDF or jpg format Sent the receipt in a pdf format Today I call and rep says it will be -5 days before they can validate my receipt Is this really how you do business? $800 coffee maker stops working after 
"Hello I'm facing a similar issue We're looking for everflo (or any concentrator l+) and it's just not available Location is New Delhi Can you please help? We've already lost one person to covid in the family and need help making this purchase Thanks a lot Ankit Goel  


Sindhu  
 These are our details Will you be calling us tomorrow? Thanks a lot I'd like a call back please No update Okay thanks When are you expecting stock? Thanks for your message Okay thank you Is there a timeline (weeks or months) Just so I can be prepared Okay thanks Hello, is there any update on Everflo? Thanks a lot in advance Great, thank you",We're looking for everflo (or any concentrator l+) and it's just not available Location is New Delhi Can you please help? We've already lost one person to covid in the family and need help making this purchase Thanks a lot Ankit Goel Sindhu,weve lost one person to covids purchase everflo,"Hello I'm facing a similar issue We're looking for everflo (or any concentrator l+) and it's just not available Location is New Delhi Can you please help? We've already lost one person to covid in the family and need help making this purchase Thanks a lot Ankit Goel  

Sindhu  ヘ These are our details Will you be calling us tomorrow? Thanks a much I'd like a call back please No update Okay thanks When are you expecting stock? Thanks for your message Okay thank you Is there a timeline (weeks or months) Just so I can be prepared Okay thanks Hello, is there any update on Everflo? ThanksA lot in advance Great, thank you"
"Hey,  How long after you receive shipment of my out of the box broken thousand dollar coffee machine should I expect an acknowledgement/replacement/refund. Because it's been over a week now and I'm getting a tad salty. Hey there, trying to find out status of my replacement/refund  no idea the case number, im at work fedex tracking of where i sent the coffee machine back:  That was the last I heard. I emailed an inquiry a few days ago and heard nothing back.   ok, well, ive wasted my lunch hour and then some... thanks for this excellent customer service  Clearly, your idea of 'shortly' and mine differ. Thanks for wasting my lunch hour and then some. That's all I needed. I had no confirmation of anything and the email provided didn't respond. It's almost impossible to call because of timezones. Thanks for getting back to me","Hey, how long after you receive shipment of my out of the box broken thousand dollar coffee machine should I expect an acknowledgement/replacement/refund? That's the last I heard. I emailed an inquiry a few days ago and heard nothing back.",cant expect an acknowledgement return coffee machine,"Hey,  How long after you receive shipment of my out of the box broken thousand dollar coffee machine should I expect an acknowledgement/replacement/refund. Because it's been over a week now and I'm getting a tad salty. Hey there, trying to find out status of my replacement/refundy  no idea the case number, im at work fedex tracking of where i sent the coffee machine back:  That was the last I heard. I emailed an inquiry a few days ago and heard nothing back.   ok, well, ive wasted my lunch hour and then some... thanks for this excellent customer service  Clearly, your idea of'shortly' and mine differ. Thanks for wasting my lunch hours"
"Bought this on Sep  and product isn't charging now. Still in warranty. Frustrated with the issue. Please assist   Thanks for reaching. My number is   Sent you my number and pic of trimmer. Please help I have tried different outlet and doesn't work. Tried Philips chargers from my friends trimmer but none of them are fitting in my device. Yes checked. No debris. Please help  Invoice P slip My email id is  I had put it on charge for  hours. Didn't charge a bit. I have tried with my friends charger too. Didn't charge at all Even the green light of charger doesn't turn on Issue with the trimmer. Please assist. No one reached out to me yet Yup tried that. Yesterday night I kept it for charging whole night -  hours. Amit Aggarwal, E401, Springfields Apartment, Ambalipura, Sarjapur Road, Bangalore  Phone -  Hi Someone reached out to me saying technician will contact me post lockdown",Bought this on Sep and product isn't charging now. Still in warranty. Frustrated with the issue. Please assist. My email id is I had put it on charge for hours.,my number is sent via email id scammed phone,"Bought this on Sep  and product isn't charging now. Still in warranty. Frustrated with the issue. Please assist   Thanks for reaching. My number is   Sent you my number and pic of trimmer. Please help I have tried different outlet and doesn't work. Tried Philips chargers from my friends trimmer but none of them are fitting in my device. Yes checked. No debris. Please love  Invoice P slip My email id is  I had put it on charge for  hours. Didn't charge a bit. I have called with my friends charger too. Didn's charge at all Even the green light of charger doesn't turn on Issue with the trimmer, Please assist. No"
"Hi did a review yesterday and said about getting a years supple of blades ive done the review but not heard out else any ideas nan nan nan nan Thanks Yeah nothing is they nan Thanks No worries :) Hi just wanting to know whats going on at all and any updates Thanks Hi Maria i did this on the th of April and got approved  days later. So not sure whats happening but feel like no one had a clue whats going on Good morning, Andy. This is Emma chatting now, and happy to help. Unfortunately, we haven't received any updates on your situation. I went ahead and asked my colleagues for an update about this, and I'll contact you again once I have more information. Regards, Emma. I got this off emma this morning Thanks :)",Hi Maria i did a review yesterday and said about getting a years supple of blades. I did this on the th of April and got approved days later.,nothing is they nan thanks hi Maria,"Hi did a review yesterday and said about getting a years supple of blades ive done the review but not heard out else any ideas nan nan nan Thanks Yeah nothing is they nan Thanks No worries :) Hi just wanting to know whats going on at all and any updates Thanks Hi Maria i did this on the th of April and got approved  days later. So not sure whats happening but feel like no one had a clue whats going in Good morning, Andy. This is Emma chatting now, and happy to help. Unfortunately, we haven't received any updates on your situation. I went ahead and asked my colleagues for an update about this, and I'll contact you again once I have more information. Regards, Emma. I got"
