Message,CaseNumber,Summary
customer said please confirm if simplygo oxygen concentrator unit is available in egypt if not how can i got in egypt you can contact me best regard engmortada ali alexandria egypt. customer said if you can respond to my message please replay. agent said hello mortada we will forward your inquiry to the responsible team who will feed us back with the availability of the product and get back to you as soon as possible. agent said thanks for our conversation we hope weve been able to help you and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer said thanks for your reply waiting your help,1541568, asks about the availability of the oxygen concentrator unit in Egypt and requests to fill out a survey. will contact back as soon as possible after receiving the reply to the question. is grateful for the reply and will send them a reply to their company's regard to each other.
customer asked is there any update on my replacement brush heads. agent said hi andrew thanks for reaching out to us again its taking quite a while now indeed im not quite sure what causes this delay so i reached out to our warehouse to ask if they can look into this they will most likely get back to me tomorrow so thats when youll hear from me again have a good evening for now cheers charlie. agent said hey andrew thanks for waiting ive just heard back from my colleagues at the warehouse that they expect the brush heads to come in this friday they said theyll send you the new heads as soon as they arrive i hope youll be back to brushing properly again soon do let me know when you have them cheers stan,1552227, asks about the status of the replacement brush heads. tells andrew the warehouse will get back to him tomorrow. hopes the new heads will be back to brushing properly again soon and wishes him a good evening for the update on the delay. They hope to meet each other soon.
customer said is there any answer because i have not received the spare parts so far and every time i contact them the answer is waiting for the spare part and we will call you and till now no one called. agent said hi eman thanks for reaching out to us were sorry to hear you havent heard anything back yet we will forward your request to our local team right away so they can look into it for you if you have any further questions in the meantime just let us know,1942631, hasn't received the spare parts. will forward the request to their local team right away and asks to let them know if there are further questions in case of any further enquires. They will contact each other in the local team's local team to deal with the problem.
customer said hi. customer said i want to ask who can i contact when i want to fix my philips fridge. customer said i found on your website the number for company but they said that there are not responsible for fridges so please advice who can i contact for my fridge. agent said hello mohamed were glad to know youre interested in philips products to better assist you please provide us with your country of residence. customer said im in egypt cairo al rehab city,1944452,"Mohamed asks for help to fix his Philips fridge. tells him they are not responsible for fridges and asks him to provide his country of residence to better assist him to contact him with Philips products. is in Egypt cairo al rehab city, and is willing to help."
customer said ok i will pick up my equipment tomorrow watching video ahead of time and reading these comments would appreciate input from the manufacturer ahead of time i am a woman so i guess this thing goes over the beastslike right under the arms i suppose what do i do if the belt is too long any other suggestions would be appreciated ahead of time thanks. agent said hi linda thanks for your comment wed like to forward your query to our product team so can you please specify your country of residence thanks and hope to hear from you soon. customer said healthcare united states,3830529,Linda asks for some suggestions about the product. will pick up her equipment tomorrow and will send her query to the product's product team and will contact her soon with a detailed statement about her country of residence to receive any suggestions ahead of time as she is a woman of residence.
customer said hi this filter turned dark after nights use on my dreamstation i have already bought another device will i be compensated i dont need another device thanks. agent said hi there thanks for reaching out to us could you please let us know what your country of residence is thanks in advance patiently awaiting your reply. customer said usa. agent said thank you for sharing this rickey can you please also specify the model of your dreamstation that way well be able to assess the next steps looking forward to your reply. agent said thanks for sharing rickey weve asked our product team to look into this for you youll hear from them soon. customer said nothing heard so far,3894203," asks about country of residence, the filter turned dark, and the model of the dreamstation to be compensated. promises to contact them soon with a detailed statement and will look into the problem for s current situation. is waiting. saying by phone to receive the compensation."
customer said my dreamstation pressure is set for pressure recently on two occasions when i got up during the night the pressure on the screen was which is below the preset number of is this a problem and do i need to change something. agent said hello ginny thank you for reaching out to us were sorry to hear that this has been happening with your dreamstation and we would like to take a closer look could you provide us with a picture of the product details of your device additionally could you also let us know your country of residence thanks in advance awaiting your reply. customer said i am in pennsylvania usa,3919499,Ginny tells that the pressure on the screen of the dreamstation is below the preset number and needs to change it. asks Ginny to send a picture of the product details of the device and country of residence to check the problem and will contact Ginny in advance.
customer asked can you help me please why does my bipap keeps reseting. agent said hello there jol thank you for reaching out to us were sorry to hear that your bipap is causing you issues we would like our product specialist team to take a look into this for you could you provide us with a picture of the product details of your device your proof of purchase your country of residence and your email address this way our dedicated team can assist you further thanks in advance awaiting your reply. customer said i dont have a proof of purshase anymore but i will send you a max of info. agent said thanks for letting us know we will be awaiting your message. customer said i live in qubec canada email. agent said thanks for getting back to us our colleagues will be with you as soon as possible,3925537, asks why the bipap keeps reseting. asks to send a picture of the product details of the device and says their dedicated team will be with as soon as possible to solve the problem of the problem. is waiting for them to receive the message. says their colleagues will be waiting.
customer said i read that we can put a filter on the hose and i see filters on party sellers sites but cant philips at least provide those so we know they work with our cpap the article said the filter may not work with the hose that works with a humidifier what about that please philips i chose you over competitors because my husband used to work for philips magnavox and i still have a vestige of brand loyalty help me out here,3933228,"Philips refuses to provide a filter on the hose because it doesn't work with the CPAP. asks over competitors because she has a vested loyalty for the brand loyalty of her husband and thinks the filter may not work with their CPAP, but still persuades him."
customer said your cpap csr team was supposed to get back to my husband about his wonky ac adapter he cant sleep because of the adapter not working and there is a hurricane bearing down next door how do we get it fixed now it is the weekend get back to us. customer said we need help because my husbands dream machine ac adapter has failed and you only answer tech problems calls monday through friday we have evacuated due to hurricane ida and need help finding a working ac adapter,3937801, asks for help because her husband's ac adapter has failed. asks about the weather of the hurricane and the time to fix it but it's too late to get back to They have evacuated so they need to find a working one now. says they only answer tech problems calls.
